Date,Open,High,Low,Close,Adj Close,Volume
2021-04-26,1.095718,1.246514,1.085569,1.237956,1.237956,287758062
2021-04-27,1.236349,1.328206,1.223233,1.309046,1.309046,299152002
2021-04-28,1.308548,1.335423,1.211294,1.288060,1.288060,253483940
2021-04-29,1.288846,1.381482,1.243938,1.319767,1.319767,343626935
2021-04-30,1.321459,1.444160,1.297517,1.403603,1.403603,327593914
2021-05-01,1.402576,1.418810,1.350795,1.394946,1.394946,201451324
2021-05-02,1.393615,1.409939,1.328352,1.387143,1.387143,212251509
2021-05-03,1.387272,1.473529,1.387272,1.435955,1.435955,240185093
2021-05-04,1.436171,1.444972,1.274881,1.278506,1.278506,319723013
2021-05-05,1.274728,1.449713,1.256056,1.442311,1.442311,275685656
2021-05-06,1.442346,1.577720,1.416299,1.542465,1.542465,517403025
2021-05-07,1.544467,1.693262,1.473843,1.581909,1.581909,573059771
2021-05-08,1.577462,1.620110,1.495422,1.517409,1.517409,290214257
2021-05-09,1.517276,1.530211,1.433875,1.512605,1.512605,279087115
2021-05-10,1.514682,1.555251,1.314420,1.371486,1.371486,335009174
2021-05-11,1.371032,1.476457,1.326154,1.476457,1.476457,287839468
2021-05-12,1.473680,1.499038,1.251076,1.251076,1.251076,321798109
2021-05-13,1.273065,1.451604,1.214443,1.352792,1.352792,725615046
2021-05-14,1.350932,1.488176,1.324055,1.468776,1.468776,630774902
2021-05-15,1.476045,1.530040,1.374182,1.383846,1.383846,854335171
2021-05-16,1.384631,1.539227,1.337097,1.400199,1.400199,777139501
2021-05-17,1.397064,1.409709,1.259696,1.285366,1.285366,599008623
2021-05-18,1.283652,1.394368,1.260132,1.366016,1.366016,283640580
2021-05-19,1.366647,1.386522,0.781355,0.943497,0.943497,745296374
2021-05-20,0.934791,1.120687,0.842253,1.113160,1.113160,500925682
2021-05-21,1.110617,1.147515,0.848973,0.980976,0.980976,373908985
2021-05-22,0.980688,1.013796,0.860602,0.974528,0.974528,279484690
